OBJECT;Simbad_ID;RA;DEC;Program_ID;Observation_Date;Coronography;Filter;Average_DIMM
V960 MON;V960 MON;06:59:31.56;-04:05:26.7;098.C-0422(B);2016-12-17;Coronography;B_H;0.46
Z CMA;Z CMA;07:03:43.21;-11:33:06.9;098.C-0422(B);2016-12-17;Coronography;B_H;0.46
HD  53367;HD  53367;07:04:25.52;-10:27:15.0;0102.C-0165(A;2019-01-23;Coronography;B_H;1.08
HD  53367;HD  53367;07:04:25.52;-10:27:15.0;0102.C-0165(A;2019-01-23;-;N_CNTH;1.08
HD 58647;HD 58647;07:25:56.01;-14:10:42.0;0101.C-0383(A;2018-09-30;-;N_CNTH;0.43
HD 58647;HD 58647;07:25:56.01;-14:10:42.0;0101.C-0383(A;2018-10-08;-;N_CNTH;0.67
CD-38  4381;CD-38  4381;08:23:11.73;-39:06:57.1;1104.C-0415(G;2020-12-08;Coronography;B_H,P0-90;0.47
IRAS 08267-3336;IRAS 08267-3336;08:28:40.84;-33:46:22.0;099.C-0147(B);2017-05-15;Coronography;B_H;0.75
V ET CHA;ET CHA;08:43:17.32;-79:05:13.0;1104.C-0415(E;2019-12-17;Coronography;B_H;0.77
V ET CHA;ET CHA;08:43:19.33;-79:05:13.0;1104.C-0415(E;2019-12-23;Coronography;B_H;0.35
V EP CHA;EP CHA;08:47:03.31;-78:59:30.3;1104.C-0415(A;2019-12-15;Coronography;B_H;0.58
TWA 7;TWA 7;10:42:29.94;-33:40:16.7;097.C-0319(A);2016-04-27;Coronography;B_J;0.95
TWA 7;TWA 7;10:42:29.94;-33:40:16.7;097.C-0319(A);2016-04-28;Coronography;B_J;0.87
TWA 7;TWA 7;10:42:29.94;-33:40:16.7;198.C-0209(F);2017-03-20;Coronography;B_H;1.2
TWA 7;TWA 7;10:42:29.94;-33:40:16.7;198.C-0209(F);2017-03-21;Coronography;B_H;0.74
ETA CAR;ETA CAR;10:45:03.50;-59:41:01.5;096.D-0252(A);2016-02-18;-;N_CNTJ;1.94
ETA CAR;ETA CAR;10:45:03.50;-59:41:01.5;096.D-0252(A);2016-02-18;-;N_HEI;1.94
ETA CAR;ETA CAR;10:45:03.50;-59:41:01.5;096.D-0252(A);2016-02-18;-;N_PAB;1.94
